# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=100506829
# chain_id=2
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-29.6213,0.975917,1.31592,1,1,0,29.7351,-0.225972
-29.6213,0.201033,2.02996,1,1,0,29.6748,-0.225972
-29.6222,0.999927,0.501177,1,1,0,29.6418,-0.22627
-29.353,1,0.818224,2,3,0,29.5848,-0.0605873
-29.353,0.712991,1.32739,1,1,0,29.6633,-0.0605873
-29.4076,0.985027,1.10229,1,3,0,29.4101,0.0116647
-29.6614,0.801916,1.71355,1,1,0,29.6704,-0.237797
-29.5101,1,1.74412,1,1,0,29.7218,-0.187554
-29.5101,0.00138225,2.78107,1,1,0,29.5214,-0.187554
-29.3809,0.996689,0.464419,2,7,0,29.6267,-0.115078
-30.7251,0.88272,0.736707,2,7,0,30.7298,0.308109
-30.7093,1,0.90161,1,1,0,31.0439,0.305972
-29.3562,1,1.42686,1,1,0,29.9072,-0.0801091
-29.4423,0.879255,2.24571,1,1,0,29.4907,0.0322738
-29.4423,8.4652e-05,2.69961,1,1,0,29.586,0.0322738
-30.2834,0.934785,0.478633,2,7,0,31.0246,-0.36717
-30.7579,0.956861,0.653085,3,7,0,31.3622,-0.436952
-30.1048,0.832828,0.931069,1,3,0,32.6191,0.211897
-29.4283,1,1.01408,1,3,0,29.9021,0.024521
-29.5986,0.882461,1.57425,1,1,0,29.6859,0.0944588
-29.5986,9.56272e-05,1.89679,1,1,0,30.9809,0.0944588
-29.9359,0.980621,0.356615,2,7,0,30.6469,-0.303605
-29.8836,1,0.530708,1,1,0,29.9571,-0.292516
-29.7162,0.95743,0.818737,2,3,0,30.4068,-0.252748
-31.1942,0.55976,1.15121,1,1,0,31.2559,-0.491211
-29.4494,1,0.711253,2,3,0,31.0291,-0.160383
-30.0546,0.808801,1.08799,1,1,0,30.0572,-0.327031
-30.7547,0.77012,1.12228,1,1,0,30.948,-0.436521
-30.7547,0.63018,1.06994,1,1,0,31.9651,-0.436521
-30.3278,1,0.769489,1,1,0,30.748,-0.374363
-29.4814,1,1.16633,2,3,0,30.004,-0.175498
-29.4876,0.99811,1.7605,1,3,0,29.4883,0.0537549
-29.3952,0.411989,2.63666,1,3,0,29.4043,-0.127155
-30.9433,0.672668,1.23383,2,3,0,30.947,-0.460906
-29.5786,1,0.971532,1,3,0,30.5676,-0.212402
-29.3932,1,1.45594,1,1,0,29.5035,-0.125637
-29.3932,0.92616,2.17348,1,1,0,29.4732,-0.125637
-29.3932,1.79428e-25,2.80083,1,1,0,32.8734,-0.125637
-29.3789,0.99985,0.601563,2,5,0,29.3981,-0.0113196
-29.8658,0.904149,0.896329,1,3,0,29.914,0.164169
-29.353,0.943041,1.10787,2,3,0,30.0572,-0.064573
-29.353,0.618231,1.47181,1,1,0,29.6436,-0.064573
-29.9038,0.702601,1.05304,2,3,0,31.0045,0.172409
-29.7142,1,0.886176,1,1,0,29.9045,0.12779
-29.3737,1,1.3066,1,1,0,29.5533,-0.0166811
-29.9273,0.546404,1.9199,1,1,0,30.0571,-0.301805
-32.6695,0.574346,1.20688,2,3,0,32.8192,-0.637972
-29.8498,1,0.802203,2,7,0,32.1983,0.16062
-29.4148,0.81911,1.17526,2,3,0,30.4485,-0.140816
-30.9614,0.499954,1.23012,1,1,0,30.9691,-0.463169
-29.5591,1,0.716928,2,3,0,30.9561,-0.205757
-29.5073,1,1.04568,1,1,0,29.5842,-0.18641
-29.5073,0.757906,1.52041,1,3,0,29.8013,-0.18641
-29.5073,0.460734,1.42165,1,1,0,30.1927,-0.18641
-29.3838,0.977696,0.778196,1,3,0,29.7398,-0.00670727
-29.4005,0.994215,1.0833,1,1,0,29.4091,0.00669774
-29.8617,0.720477,1.54913,1,1,0,29.8641,-0.287711
-29.6182,1,1.3562,1,1,0,29.8828,-0.225022
-29.6182,0.234987,1.95204,1,1,0,30.4109,-0.225022
-29.6903,0.988844,0.724328,1,1,0,29.7115,-0.245849
-30.2236,0.84797,1.0218,1,1,0,30.2645,-0.357203
-29.3702,0.984417,1.12275,1,3,0,29.9952,-0.0207966
-29.3702,0.643152,1.56479,1,1,0,29.6192,-0.0207966
-29.9706,0.773806,1.20069,1,1,0,29.9708,0.186241
-29.8664,1,1.15797,1,1,0,30.1231,0.164318
-29.8664,0.0278591,1.65145,1,1,0,30.8498,0.164318
-30.191,0.970886,0.440367,2,3,0,30.5446,0.227188
-29.5296,0.799975,0.597949,2,5,0,33.1983,-0.195097
-29.5002,0.998303,0.604831,3,7,0,29.6045,-0.183505
-29.5461,0.990031,0.857572,1,1,0,29.5673,-0.201168
-29.4898,1,1.19593,2,3,0,29.5764,-0.179174
-29.4498,1,1.69209,1,3,0,29.4568,0.0361709
-29.4498,2.6228e-06,2.38815,1,1,0,30.0628,0.0361709
-29.3571,0.946259,0.627034,3,7,0,30.3639,-0.0418974
-29.3534,0.999523,0.809665,1,3,0,29.3609,-0.0684636
-29.4206,0.93776,1.14055,2,3,0,29.5603,0.019967
-29.4206,0.208197,1.44646,1,1,0,30.5518,0.019967
-29.3572,0.996759,0.546985,1,3,0,29.4775,-0.0416712
-29.3538,0.999337,0.765279,1,3,0,29.3639,-0.0713402
-29.4157,0.970967,1.07278,2,3,0,29.4812,0.0169358
-29.4157,0.851172,1.43219,1,1,0,29.5772,0.0169358
-29.4157,0.663438,1.569,1,1,0,29.6968,0.0169358
-29.4157,0.123365,1.26524,1,1,0,31.7465,0.0169358
-29.3788,0.996704,0.425144,2,7,0,29.5539,-0.112973
-30.1323,0.825152,0.591199,1,3,0,31.9203,0.216864
-30.0065,1,0.622037,1,1,0,30.1536,0.19336
-29.3669,0.992424,0.86662,1,3,0,29.987,-0.0248697
-29.354,0.986377,1.19024,2,3,0,29.3989,-0.0721762
-30.157,0.537442,1.61568,1,1,0,30.2449,-0.3457
-29.5306,1,1.07089,2,3,0,29.9574,-0.195456
-29.4549,1,1.48302,1,1,0,29.5579,-0.163156
-29.862,0.602556,2.04954,1,1,0,30.2454,-0.287785
-29.4446,1,1.51,1,3,0,29.5811,0.0334479
-29.4446,0.000269725,2.08246,1,1,0,30.2805,0.0334479
-29.4597,0.985076,0.597787,2,3,0,29.6622,0.0410331
-29.3576,0.998207,0.806067,1,3,0,29.463,-0.0408156
-30.1081,0.560461,1.10735,2,3,0,31.6045,0.212507
