year,bimonth,enso
1976,mayjun,0.307
1977,mayjun,0.451
1978,mayjun,-0.579
1979,mayjun,0.423
1980,mayjun,0.907
1981,mayjun,-0.019
1982,mayjun,0.944
1983,mayjun,2.24
1984,mayjun,-0.079
1985,mayjun,-0.133
1986,mayjun,0.306
1987,mayjun,1.964
1988,mayjun,-0.622
1989,mayjun,-0.253
1990,mayjun,0.484
1991,mayjun,1.1
1992,mayjun,1.748
1993,mayjun,1.591
1994,mayjun,0.788
1995,mayjun,0.508
1996,mayjun,0.068
1997,mayjun,2.292
1998,mayjun,1.292
1999,mayjun,-0.361
2000,mayjun,-0.053
2001,mayjun,0.006
2002,mayjun,0.913
2003,mayjun,0.097
2004,mayjun,0.267
2005,mayjun,0.585
2006,mayjun,0.53
2007,mayjun,-0.215
2008,mayjun,0.133
2009,mayjun,0.819
2010,mayjun,-0.325
2011,mayjun,-0.075
2012,mayjun,0.835
2013,mayjun,-0.168
2014,mayjun,0.98
2015,mayjun,2.045
2016,mayjun,1.001
1950,junjul,-1.296
1951,junjul,0.666
1952,junjul,-0.316
1953,junjul,0.368
1954,junjul,-1.378
1955,junjul,-1.998
1956,junjul,-1.259
1957,junjul,0.908
1958,junjul,0.693
1959,junjul,-0.134
1960,junjul,-0.34
1961,junjul,-0.216
1962,junjul,-0.701
1963,junjul,0.401
1964,junjul,-1.405
1965,junjul,1.36
1966,junjul,-0.136
1967,junjul,-0.521
1968,junjul,-0.527
1969,junjul,0.467
1970,junjul,-1.089
1971,junjul,-1.23
1972,junjul,1.827
1973,junjul,-1.081
1974,junjul,-0.769
1975,junjul,-1.519
1976,junjul,0.615
1977,junjul,0.866
1978,junjul,-0.433
1979,junjul,0.369
1980,junjul,0.749
1981,junjul,-0.048
1982,junjul,1.604
1983,junjul,1.763
1984,junjul,-0.084
1985,junjul,-0.143
1986,junjul,0.383
1987,junjul,1.859
1988,junjul,-1.145
1989,junjul,-0.459
1990,junjul,0.12
1991,junjul,1.023
1992,junjul,1.018
1993,junjul,1.17
1994,junjul,0.88
1995,junjul,0.207
1996,junjul,-0.204
1997,junjul,2.805
1998,junjul,0.347
1999,junjul,-0.507
2000,junjul,-0.184
2001,junjul,0.27
2002,junjul,0.685
2003,junjul,0.144
2004,junjul,0.541
2005,junjul,0.49
2006,junjul,0.691
2007,junjul,-0.288
2008,junjul,0.054
2009,junjul,1.035
2010,junjul,-1.156
2011,junjul,-0.228
2012,junjul,1.098
2013,junjul,-0.355
2014,junjul,0.882
2015,junjul,1.948
2016,junjul,0.312
1950,julaug,-1.053
1951,julaug,0.829
1952,julaug,-0.378
1953,julaug,0.213
1954,julaug,-1.471
1955,julaug,-2.073
1956,julaug,-1.131
1957,julaug,1.148
1958,julaug,0.427
1959,julaug,0.114
1960,julaug,-0.251
1961,julaug,-0.304
1962,julaug,-0.543
1963,julaug,0.597
1964,julaug,-1.503
1965,julaug,1.443
1966,julaug,0.155
1967,julaug,-0.395
1968,julaug,-0.102
1969,julaug,0.218
1970,julaug,-1.016
1971,julaug,-1.225
1972,julaug,1.821
1973,julaug,-1.347
1974,julaug,-0.671
1975,julaug,-1.73
1976,julaug,0.664
1977,julaug,0.695
1978,julaug,-0.2
1979,julaug,0.625
1980,julaug,0.336
1981,julaug,-0.088
1982,julaug,1.799
1983,julaug,1.178
1984,julaug,-0.154
1985,julaug,-0.367
1986,julaug,0.775
1987,julaug,1.999
1988,julaug,-1.303
1989,julaug,-0.497
1990,julaug,0.131
1991,julaug,1.024
1992,julaug,0.57
1993,julaug,1.042
1994,julaug,0.773
1995,julaug,-0.143
1996,julaug,-0.374
1997,julaug,3.04
1998,julaug,-0.331
1999,julaug,-0.745
2000,julaug,-0.145
2001,julaug,0.338
2002,julaug,1.017
2003,julaug,0.316
2004,julaug,0.627
2005,julaug,0.352
2006,julaug,0.759
2007,julaug,-0.441
2008,julaug,-0.266
2009,julaug,1.067
2010,julaug,-1.683
2011,julaug,-0.519
2012,julaug,0.619
2013,julaug,-0.48
2014,julaug,0.954
2015,julaug,2.366
2016,julaug,0.175
1950,augsep,-0.634
1951,augsep,0.743
1952,augsep,0.313
1953,augsep,0.501
1954,augsep,-1.166
1955,augsep,-1.823
1956,augsep,-1.359
1957,augsep,1.125
1958,augsep,0.188
1959,augsep,0.105
1960,augsep,-0.465
1961,augsep,-0.301
1962,augsep,-0.551
1963,augsep,0.75
1964,augsep,-1.311
1965,augsep,1.406
1966,augsep,-0.085
1967,augsep,-0.621
1968,augsep,0.22
1969,augsep,0.177
1970,augsep,-1.252
1971,augsep,-1.46
1972,augsep,1.558
1973,augsep,-1.727
1974,augsep,-0.627
1975,augsep,-1.874
1976,augsep,1.038
1977,augsep,0.8
1978,augsep,-0.389
1979,augsep,0.786
1980,augsep,0.281
1981,augsep,0.187
1982,augsep,1.811
1983,augsep,0.497
1984,augsep,-0.106
1985,augsep,-0.526
1986,augsep,1.088
1987,augsep,1.894
1988,augsep,-1.506
1989,augsep,-0.311
